City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
549,Umm Lajj,SA,85.15,clear sky,25.0213,37.2685,Moon light Furnished Units
551,Sabang,ID,83.19,overcast clouds,5.8933,95.3214,Hotel Citra
554,Date,JP,76.33,clear sky,42.4681,140.8681,静香荘
555,Mosta,MT,76.44,clear sky,35.9092,14.4256,The Xara Palace Relais & Chateaux
556,Samarai,PG,79.5,overcast clouds,-10.6167,150.6667,Nuli Sapi
557,Saint Anthony,US,79.63,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
558,Katsuura,JP,87.19,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
561,Sulangan,PH,85.53,overcast clouds,11.1373,123.7228,Maia's Beach Resort
563,Singaparna,ID,84.34,clear sky,-7.3515,108.111,Wisma Dewi Hotel
570,Dodge City,US,75.63,overcast clouds,37.7528,-100.0171,Windsor Inn & Suites
571,Barcelona,ES,76.53,few clouds,41.3888,2.159,Axel Hotel Barcelona
574,Daniel Flores,CR,75.76,overcast clouds,9.3355,-83.6694,Hotel San Isidro
575,Port Moresby,PG,80.73,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
579,Honiara,SB,82.09,overcast clouds,-9.4333,159.95,Heritage Park Hotel
580,Kodinsk,RU,85.95,overcast clouds,58.6881,99.1844,
582,Libreville,GA,75.22,scattered clouds,0.3925,9.4537,Hotel Re-Ndama
583,Gidam,IN,82.78,scattered clouds,18.9833,81.4,Dhanshree Lodge And DormItory
588,Kununurra,AU,89.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
589,Latung,PH,83.46,broken clouds,5.5,120.8833,
590,Amahai,ID,81.14,broken clouds,-3.3333,128.9167,HOTEL ISABELA
591,Zhangjiakou,CN,79.09,moderate rain,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
597,Tual,ID,80.02,broken clouds,-5.6667,132.75,Grand Vilia Hotel
600,Lake Magdalene,US,85.01,scattered clouds,28.0742,-82.4718,Emerald Greens Hotel Condo Resort
603,Wad Rawah,SD,77.09,overcast clouds,15.1603,33.1397,ود الترابي
604,Topeka,US,77.49,few clouds,39.0483,-95.678,Hotel Topeka At City Center
606,Finschhafen,PG,76.77,moderate rain,-6.6024,147.8681,Cossam Guest House
608,Puerto El Triunfo,SV,85.12,moderate rain,13.2833,-88.55,Hotel Jardin
610,Chernyshevskiy,RU,84.2,clear sky,63.0128,112.4714,Chernyseyskiy
612,Tarpon Springs,US,85.1,scattered clouds,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
614,Ormara,PK,82.53,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
621,Havelock,US,81.95,clear sky,34.8791,-76.9013,Sherwood Motel
622,Russell,US,79.79,few clouds,32.3502,-85.1999,Macs
624,Acapulco,MX,81.46,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
625,Buchanan,LR,75.52,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
627,Kysyl-Syr,RU,88.63,clear sky,63.8986,122.7617,
630,Mogadishu,SO,76.87,clear sky,2.0371,45.3438,Hotel Juba
634,Panaba,MX,76.35,broken clouds,21.2833,-88.2667,Posada rosario
635,Nhulunbuy,AU,84.81,few clouds,-12.2333,136.7667,East Arnhem Real Estate
636,Pyay,MM,79.79,light rain,18.8167,95.2167,Shwe Pyi Thar
640,Dublin,US,75.79,clear sky,37.7021,-121.9358,Pleasanton Marriott
643,Wilmington,US,80.91,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
644,Gilbert,US,80.58,broken clouds,33.3528,-111.789,Mercy Housing - Page Commons
649,Wadi Maliz,TN,79.45,scattered clouds,36.4681,8.5495,HOPITAL
653,Monywa,MM,79.75,overcast clouds,22.1167,95.1333,Monywa Hotel
655,Phalodi,IN,88.61,overcast clouds,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
660,Lashio,MM,79.41,broken clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
663,Hobyo,SO,76.32,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
665,Birobidzhan,RU,79.54,overcast clouds,48.8,132.95,Hotel Central (Vostok)
666,Fuerte,PH,83.8,light rain,17.5381,120.3644,Giordion Inn
667,Aykhal,RU,83.07,clear sky,66.0,111.5,
669,Gigmoto,PH,87.71,overcast clouds,13.7796,124.39,Cj's Travellers Inn
671,Kachug,RU,77.38,broken clouds,53.9606,105.8817,"The hotel ""Empire"""
673,Natchez,US,82.62,clear sky,31.5604,-91.4032,Hampton Inn & Suites Natchez
674,Champerico,GT,81.77,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
676,Florence,IT,75.99,clear sky,43.7667,11.25,Italiana Hotels Florence
677,Freeport,US,79.99,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
682,Oranjestad,AW,80.51,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
684,Sorong,ID,86.04,overcast clouds,-0.8833,131.25,waigo splash hotel
